"GROUPVEG","hnobsall","lnobsall","ratio"
"Barren-Rock/Sand/Clay",5889,1665,3.53693693693694
"Conifer",318168,142802,2.22803602190446
"Grassland",143980,19253,7.47831506778164
"Hardwood",386804,13697,28.2400525662554
"Hardwood-Conifer",172056,9800,17.5567346938776
"No Data",6,NA,NA
"Open Water",18193,1167,15.5895458440446
"PerennialIce/Snow",13,18,0.722222222222222
"Riparian",259006,33620,7.7039262343843
"Savanna",3248,76,42.7368421052632
"Shrubland",114002,51065,2.23248800548321
"Sparse",3265,1042,3.13339731285988
