"ecn","hnobs","hmean","hsd","hmedian","hsum","lnobs","lmean","lsd","lmedian","lsum","totfires","perh","NA_L3CODE"
521,501,181.981752990499,1406.9897928316,42.49203,91172.85824824,22,3612.33760490909,8274.17021755186,652.960861,79471.427308,523,95.7934990439771,"5.2.1"
522,69,1922.92124663768,2739.97055433843,890.3092,132681.566018,2,117.35894,120.185610237529,117.35894,234.71788,71,97.1830985915493,"5.2.2"
531,163,36.8127957782822,58.960925431039,16.18744,6000.48571186,12,23.5931938,18.8105910800875,15.985097,283.1183256,175,93.1428571428571,"5.3.1"
533,29,205.047418715626,334.581195265916,55.037296,5946.37514275314,2,111.086307,64.9574607712358,111.086307,222.172614,31,93.5483870967742,"5.3.3"
623,161,1123.57782654025,7278.16218199675,125.45266,180896.03007298,129,2644.31115081194,6475.29777655786,1213.5723768,341116.13845474,290,55.5172413793103,"6.2.3"
624,3,13038.8480246667,10562.9421033424,13841.475258,39116.544074,21,11997.3018852381,8526.89708315562,7627.117042,251943.33959,24,12.5,"6.2.4"
625,18,3418.53552337778,4759.87069014945,885.655311,61533.6394208,38,13379.6338567753,20868.0868551569,4329.735514,508426.08655746,56,32.1428571428571,"6.2.5"
627,142,466.590275938732,1953.89776320162,45.527175,66255.8191833,137,1909.01315675912,3909.29408465391,481.57634,261534.802476,279,50.8960573476703,"6.2.7"
628,126,788.853263554286,1759.09894755547,224.196044,99395.51120784,94,3253.38354945957,6297.12000093206,801.480623,305818.0536492,220,57.2727272727273,"6.2.8"
629,78,3107.65902408974,7508.25068257502,579.105666,242397.403879,127,7661.52682341417,8353.90691270345,3735.25178,973013.9065736,205,38.0487804878049,"6.2.9"
717,47,25.5503241787234,36.3553142710628,14.973382,1200.8652364,1,4.856232,NA,4.856232,4.856232,48,97.9166666666667,"7.1.7"
718,136,149.738432230147,513.993232165977,36.5836144,20364.4267833,11,1868.32489309091,1679.93719173385,1214.058,20551.573824,147,92.5170068027211,"7.1.8"
719,31,26.1331858974194,18.5282525480818,19.3439908,810.12876282,1,3035.145,NA,3035.145,3035.145,32,96.875,"7.1.9"
811,208,5.91501120355769,20.9572000630077,2.02343,1230.32233034,14,7.45055832142857,10.0906493839536,2.0031957,104.3078165,222,93.6936936936937,"8.1.1"
813,122,13.0288989409836,9.54810902779858,10.11715,1589.5256708,4,8.5995775,6.63631573232525,7.689034,34.39831,126,96.8253968253968,"8.1.3"
814,243,140.966822419617,317.832065449425,72.84348,34254.9378479669,3,21.1785673333333,3.76016960948856,19.424928,63.535702,246,98.780487804878,"8.1.4"
815,43,59.4690783592293,107.851564654797,26.30459,2557.17036944686,1,30.35145,NA,30.35145,30.35145,44,97.7272727272727,"8.1.5"
816,13,62.4804051194723,17.8503789624378,60.7029,812.24526655314,1,13.759324,NA,13.759324,13.759324,14,92.8571428571429,"8.1.6"
817,275,12.4380462837818,17.0429197007305,6.474976,3420.46272804,12,5.68246591666667,3.35321356772906,4.856232,68.189591,287,95.8188153310105,"8.1.7"
818,52,34.1072473769231,44.8994358562457,17.5229038,1773.5768636,2,3.9052199,1.34493420980092,3.9052199,7.8104398,54,96.2962962962963,"8.1.8"
821,22,182.180439790909,124.672951390149,126.464375,4007.9696754,1,145.68696,NA,145.68696,145.68696,23,95.6521739130435,"8.2.1"
822,4,64.517066561715,49.9014910540175,47.08521812343,258.06826624686,0,NA,NA,NA,0,4,100,"8.2.2"
823,11,108.441132145455,29.3124452034492,98.7838526,1192.8524536,1,242.8116,NA,242.8116,242.8116,12,91.6666666666667,"8.2.3"
824,4,192.22585,110.901686058236,151.75725,768.9034,0,NA,NA,NA,0,4,100,"8.2.4"
831,118,28.9167009483051,57.7941905737705,12.14058,3412.1707119,6,13.8267716666667,9.6969949242297,10.11715,82.96063,124,95.1612903225807,"8.3.1"
832,33,215.895075715152,155.441970723252,134.8009066,7124.5374986,1,91.05435,NA,91.05435,91.05435,34,97.0588235294118,"8.3.2"
833,164,83.3872776182927,102.158569701163,53.418552,13675.5135294,2,325.569887,125.622578319703,325.569887,651.139774,166,98.7951807228916,"8.3.3"
834,1002,47.8127017699726,95.2027103800001,30.35145,47908.3271735126,69,67.7069003658965,44.7094652800956,52.60918,4671.77612524686,1071,93.5574229691877,"8.3.4"
835,2461,83.7425997703452,126.078349247141,53.013866,206090.538034819,102,110.083717272549,82.9722162466549,86.198118,11228.5391618,2563,96.0202887241514,"8.3.5"
836,188,119.076681389043,207.587854797368,70.82005,22386.41610114,3,42.6269253333333,14.2523798332736,34.39831,127.880776,191,98.4293193717278,"8.3.6"
837,816,195.959192415907,734.120499644804,89.435606,159902.70101138,96,338.581385037988,901.61461998509,108.253505,32503.8129636469,912,89.4736842105263,"8.3.7"
838,196,291.449075971429,1049.39325597645,121.4058,57124.0188904,7,126.262032,96.4081762759345,80.9372,883.834224,203,96.551724137931,"8.3.8"
841,398,199.168289190286,456.060534603391,91.05435,79268.9790977337,17,256.228131390992,249.818226109918,154.994738,4355.87823364686,415,95.9036144578313,"8.4.1"
842,275,633.009105407273,470.17792343321,475.101364,174077.503987,2,203.0512005,60.8081956558926,203.0512005,406.102401,277,99.2779783393502,"8.4.2"
843,155,134.347136104516,116.936261882573,86.602804,20823.8060962,2,44.51546,5.72312429702519,44.51546,89.03092,157,98.7261146496815,"8.4.3"
844,238,281.445340073109,585.587637411874,111.693336,66983.9909374,24,527.35644375,467.363683076366,323.546457,12656.55465,262,90.8396946564885,"8.4.4"
845,274,236.33864743,188.518958509801,180.7327676,64756.78939582,3,287.461955333333,145.681526614422,204.36643,862.385866,277,98.9169675090253,"8.4.5"
846,48,409.1906610375,312.049885070723,285.505973,19641.1517298,1,580.72441,NA,580.72441,580.72441,49,97.9591836734694,"8.4.6"
847,62,590.316120919355,508.378792173464,404.686,36599.599497,2,1101.150606,731.987597589521,1101.150606,2202.301212,64,96.875,"8.4.7"
848,93,608.05594511828,614.356463497842,404.686,56549.202896,12,902.5509515,947.37144449456,492.705205,10830.611418,105,88.5714285714286,"8.4.8"
849,204,265.516071584084,266.659212938614,161.8744,54165.2786031531,3,120.191742,51.1363637982046,113.31208,360.575226,207,98.5507246376812,"8.4.9"
851,411,224.911570192927,767.803431725277,91.05435,92438.6553492931,30,1957.3043076,4810.15476216693,201.331285,58719.129228,441,93.1972789115646,"8.5.1"
852,28,155.663915207143,145.513353885572,106.837104,4358.5896258,2,484.206799,173.696822414714,484.206799,968.413598,30,93.3333333333333,"8.5.2"
853,744,623.04487280461,3049.6030896097,212.1566355,463545.38536663,334,1589.75371256052,8262.15193975029,317.880853,530977.739995213,1078,69.0166975881262,"8.5.3"
854,307,132.439227650163,686.476162362748,12.14058,40658.8428886,10,85.1459344,126.164454592711,23.269445,851.459344,317,96.8454258675079,"8.5.4"
921,132,353.175297225758,458.174681738795,190.809449,46619.1392338,3,337.238333333333,163.551899726091,364.2174,1011.715,135,97.7777777777778,"9.2.1"
922,20,906.3752342,387.334722272886,793.18456,18127.504684,1,161.8744,NA,161.8744,161.8744,21,95.2380952380952,"9.2.2"
923,64,287.686218825,271.634397566822,194.24928,18411.9180048,1,60.7029,NA,60.7029,60.7029,65,98.4615384615385,"9.2.3"
924,43,704.447272632558,1441.31715936411,313.63165,30291.2327232,1,105.21836,NA,105.21836,105.21836,44,97.7272727272727,"9.2.4"
931,71,1485.61883542817,1873.7707460083,809.372,105478.9373154,13,2002.29293892308,958.132274545784,2085.751644,26029.808206,84,84.5238095238095,"9.3.1"
933,136,2080.95819784265,3139.06743812416,1168.530825,283010.3149066,164,6458.48882141779,12350.955365553,2319.255466,1059192.16671252,300,45.3333333333333,"9.3.3"
934,5,8927.9397204,11941.7045786021,3642.174,44639.698602,6,15406.1059950333,9116.21807661298,13914.6627211,92436.6359702,11,45.4545454545455,"9.3.4"
941,113,4081.7031028895,5001.66187179036,2225.773,461232.450626514,51,4043.46698561569,5030.91842645638,2161.832612,206216.8162664,164,68.9024390243902,"9.4.1"
942,163,1350.90269503681,1790.88900902349,776.99712,220197.139291,19,904.926884305263,1221.87711837807,404.686,17193.6108018,182,89.5604395604396,"9.4.2"
943,46,11159.7355037826,25914.6691489834,5220.4494,513347.833174,36,7246.63351305556,10884.8836462431,3660.182527,260878.80647,82,56.0975609756098,"9.4.3"
944,6,3668.41114233333,1989.43267844852,3116.486886,22010.466854,1,1537.8068,NA,1537.8068,1537.8068,7,85.7142857142857,"9.4.4"
945,206,1622.5278141,2319.42484004089,930.7778,334240.7297046,8,7245.295801,17800.7320344168,836.688305,57962.366408,214,96.2616822429907,"9.4.5"
946,54,6928.83884318519,16199.9713148033,1376.134743,374157.297532,16,5380.831520375,15685.3430714289,1133.1208,86093.304326,70,77.1428571428572,"9.4.6"
947,157,151.656722904459,242.526637849096,84.98406,23810.105496,3,120.056846666667,51.2424742066826,101.1715,360.17054,160,98.125,"9.4.7"
951,66,2050.16257610303,1952.17998439743,1416.401,135310.7300228,23,2851.75010232174,1188.56138306333,2498.531364,65590.2523534,89,74.1573033707865,"9.5.1"
961,54,1320.5631115963,3777.10000987688,485.6232,71310.4080262,1,424.9203,NA,424.9203,424.9203,55,98.1818181818182,"9.6.1"
1012,48,8018.2435317125,10686.7719758216,4496.2031001,384875.6895222,22,13536.3714457091,11003.4714849007,8308.608266,297800.1718056,70,68.5714285714286,"10.1.2"
1013,18,8436.27545772222,5964.88370641679,5570.300447,151852.958239,60,40717.63364725,45639.3920853355,23363.939181,2443058.018835,78,23.0769230769231,"10.1.3"
1014,22,1286.30916685455,1786.30963181405,622.3261308,28298.8016708,42,4446.07406715714,9343.64061966579,1251.086769,186735.1108206,64,34.375,"10.1.4"
1015,70,5254.76966341429,6589.60363477655,3026.039565,367833.876439,146,14301.5214712534,17438.070398459,9383.2114704,2088022.134803,216,32.4074074074074,"10.1.5"
1016,78,849.17183044359,2255.44271034784,206.794546,66235.4027746,146,1553.43932125205,3612.29122807844,704.963012,226802.1409028,224,34.8214285714286,"10.1.6"
1017,78,451.621274696835,1277.08058777053,133.748723,35226.4594263531,52,2358.98707053462,2992.7617473166,1188.158096,122667.3276678,130,60,"10.1.7"
1018,25,8776.224557744,8292.92507669596,6383.92165,219405.6139436,28,28034.81487585,24668.6238955749,14990.378812,784974.8165238,53,47.1698113207547,"10.1.8"
1021,45,1894.85316408,3561.22406074622,759.190936,85268.3923836,59,10372.196149461,16568.6337422713,4826.689922,611959.5728182,104,43.2692307692308,"10.2.1"
1022,247,680.943669096356,1906.42393949087,202.343,168193.0862668,32,2625.4130714375,5646.41725338626,613.09929,84013.218286,279,88.5304659498208,"10.2.2"
1024,25,9183.28039896,24955.7250076995,2422.855082,229582.009974,29,7427.0765657931,9078.93741715442,4101.49261,215385.220408,54,46.2962962962963,"10.2.4"
1111,661,2058.9287069472,7972.6669499982,376.35798,1360951.8752921,32,7290.2791791875,11819.1730938006,2658.78702,233288.933734,693,95.3823953823954,"11.1.1"
1112,320,519.643773558313,1695.86962161181,161.8744,166286.00753866,4,449.20146,119.410946099698,433.01402,1796.80584,324,98.7654320987654,"11.1.2"
1113,99,5660.14809692727,11164.9338804826,1618.744,560354.6615958,12,3882.27757618333,7264.8104011324,768.8831657,46587.3309142,111,89.1891891891892,"11.1.3"
1211,30,8954.23082086667,17029.9915108414,3826.508473,268626.924626,33,5673.80808890909,6951.77528528549,3217.2537,187235.666934,63,47.6190476190476,"12.1.1"
1311,139,5438.12010060576,21790.9942891524,791.16113,755898.6939842,298,4296.4186254845,11665.0971144116,1568.15825,1280332.75039438,437,31.8077803203661,"13.1.1"
1541,39,7122.84715630769,10402.0754829585,4046.86,277791.039096,38,7825.93820883684,6567.59199423205,4945.26292,297385.6519358,77,50.6493506493506,"15.4.1"
6210,87,3248.45685122529,6313.4663567086,988.647898,282615.7460566,107,5593.32216365421,8889.33135892183,3019.766932,598485.471511,194,44.8453608247423,"6.2.10"
6211,173,1085.78210543202,3669.78798865681,137.59324,187840.30423974,81,10292.9049799163,23310.9088658405,5071.120266,833725.30337322,254,68.1102362204724,"6.2.11"
6212,190,2245.93773660653,8684.96332904338,294.206722,426728.16995524,102,2870.19145531627,6507.02376909788,1233.685271,292759.52844226,292,65.0684931506849,"6.2.12"
6213,26,3332.12226461538,5047.74741364662,895.772461,86635.17888,37,2493.09872788649,3437.12935533827,1250.47974,92244.6529318,63,41.2698412698413,"6.2.13"
6214,75,4216.53890440533,10290.3851503326,1011.715,316240.4178304,145,2498.53005225917,6068.92346942536,515.97465,362286.85757758,220,34.0909090909091,"6.2.14"
6215,25,7067.721202944,11755.3730700715,2487.200156,176693.0300736,131,14663.3309252302,18484.7996352574,7899.47072,1920896.35120516,156,16.025641025641,"6.2.15"
8110,12,20.8649356833333,19.0582652862265,11.8775341,250.3792282,1,11.938237,NA,11.938237,11.938237,13,92.3076923076923,"8.1.10"
