"NA_L3CODE","DISCOVERY_DOY.median.Human","DISCOVERY_DOY.median.Lightning","diff"
"10.1.2",205.5,205.5,0
"10.1.3",229,215,14
"10.1.4",195,210.5,-15.5
"10.1.5",198,209,-11
"10.1.6",166,199,-33
"10.1.7",108,197,-89
"10.1.8",210,216,-6
"10.2.1",177,205,-28
"10.2.2",157,202,-45
"10.2.4",111,170,-59
"11.1.1",203,225,-22
"11.1.2",191,224,-33
"11.1.3",208,223.5,-15.5
"12.1.1",138.5,180,-41.5
"13.1.1",151,195,-44
"15.4.1",110,178,-68
"5.2.1",114,182.5,-68.5
"5.2.2",113,209,-96
"5.3.1",119,169,-50
"5.3.3",110,123,-13
"6.2.10",202,220,-18
"6.2.11",218,205,13
"6.2.12",218,212,6
"6.2.13",206,211,-5
"6.2.14",163,197,-34
"6.2.15",229,221,8
"6.2.3",185,224,-39
"6.2.4",228,227.5,0.5
"6.2.5",207,216,-9
"6.2.7",214,219,-5
"6.2.8",209,211,-2
"6.2.9",226.5,215,11.5
"7.1.7",216,224,-8
"7.1.8",216,214,2
"7.1.9",228,200,28
"8.1.1",111,113,-2
"8.1.10",105,115,-10
"8.1.3",108,115,-7
"8.1.4",109,165.5,-56.5
"8.1.5",102,114,-12
"8.1.6",106,144,-38
"8.1.7",118,136,-18
"8.1.8",119,179,-60
"8.2.1",104,146,-42
"8.2.2",103.5,NA,NA
"8.2.3",102,119,-17
"8.2.4",221,NA,NA
"8.3.1",102.5,124,-21.5
"8.3.2",95,197.5,-102.5
"8.3.3",94,188.5,-94.5
"8.3.4",90,186,-96
"8.3.5",81,186,-105
"8.3.6",80,230,-150
"8.3.7",133,215.5,-82.5
"8.3.8",155,223,-68
"8.4.1",96,172,-76
"8.4.2",275,97,178
"8.4.3",99,176,-77
"8.4.4",100,164,-64
"8.4.5",83,206,-123
"8.4.6",82,212,-130
"8.4.7",87,221,-134
"8.4.8",83,215.5,-132.5
"8.4.9",106,200,-94
"8.5.1",80,185.5,-105.5
"8.5.2",234.5,217,17.5
"8.5.3",88,172,-84
"8.5.4",119,180,-61
"9.2.1",121,197,-76
"9.2.2",116,126,-10
"9.2.3",91,133,-42
"9.2.4",85,240.5,-155.5
"9.3.1",191,214,-23
"9.3.3",209.5,215,-5.5
"9.3.4",105.5,223,-117.5
"9.4.1",111,177,-66
"9.4.2",109.5,209,-99.5
"9.4.3",94.5,172,-77.5
"9.4.4",89,207,-118
"9.4.5",91,217,-126
"9.4.6",129,214,-85
"9.4.7",200,216,-16
"9.5.1",169,210,-41
"9.6.1",94,218,-124
